M. Salah,28,23.92
K. Mbappe,27,23.77
H. Kane,25,20.19
R. Lewandowki,25,24.08
M. Retegui,24,18.7
A. Isak,23,20.41
E. Haaland,21,21.08
O. Dembele,21,15.64
O. Marmoush,21,13.76
C. Wood,20,12.42
S. Guirassy,20,21.16
M. Greenwood,19,14.49
A. Budimir,19,17.69
P. Schick,19,11.14
B. Mbuemo,18,10.81
Raphinha,18,19.04
Y. Wissa,18,17.02
A. Sorloth,17,12.71
M. Kean,17,16.5
J. Burkardt,17,13.36
