RO16,PSG,1.99,0.17,1,0
RO16,PSG,0.86,1.94,1,3
QF,Chelsea,1.2,1.53,1,3
QF,Chelsea,1.88,0.82,3,2
SF,Man City,2.95,1.44,4,3
SF,Man City,1.21,2.14,1,3
Final,Liverpool,2.19,0.73,0,1
