K. Mbappe,31,27
M. Salah,29,25.21
R. Lewandowki,27,26.76
H. Kane,26,20.63
M. Retegui,25,19.85
A. Isak,23,20.58
E. Haaland,22,22.16
O. Marmoush,22,14.23
M. Greenwood,21,16.37
A. Budimir,21,18.54
O. Dembele,21,16.59
S. Guirassy,21,22.72
P. Schick,21,12.41
A. Sorloth,20,16.79
B. Mbuemo,20,12.12
C. Wood,20,13.66
A.Perez,19,12.67
M. Kean,19,19.42
Y. Wissa,19,18.69
Raphinha,18,19.26
